Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 07/28/2020,,Start Date, 07/28/2020,,Start Date, 07/28/2020,
1,Start Time, 16-34-40,,Start Time, 16-36-35,,Start Time, 16-37-23,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P1,,Paradigm, P1,,Paradigm, P1,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,220,,0113,226,,0113,228,
10,Paradigm, G5_P1_vF,,Paradigm, G5_P1_vF,,Paradigm, G5_P1_vF,
11,7070,0,,7070,0,,7070,0,
12,8070,0,,8070,0,,8070,0,
13,9070,0,,9070,0,,9070,0,
14,5521,0,,5521,0,,5521,0,
15,8071,117843,,8071,78323,,8071,2126653,
16,7529,,0.0,7529,,0.0,7529,,0.0
17,8529,,0.0,8529,,0.0,8529,,0.0
18,9529,,0.0,9529,,0.0,9529,,0.0
19,5520,117844,,5520,78324,,5520,2126654,
20,81171,117844,,81171,78324,,81171,2126654,
21,81271,117844,,81271,78324,,81271,2126654,
22,81270,117917,,81270,78397,,8070,2126683,
23,8070,118786,,8070,81251,,81270,2126727,
24,81170,120845,,81170,81325,,8071,2127454,
25,71519,,0.0,8071,81609,,8070,2127635,
26,81519,,0.0,8070,82554,,8071,2127665,
27,91519,,0.0,8071,84618,,8070,2127897,
28,5521,175845,,8070,87950,,8071,2127918,
29,7071,397601,,8071,88043,,8070,2127934,
30,7070,397927,,8070,89118,,81170,2129655,
31,8071,401247,,8071,91522,,71519,,0.0
32,7529,,1.0,8070,91648,,81519,,0.0
33,8529,,0.0,8071,92497,,91519,,0.0
34,9529,,0.0,8070,92643,,5521,2186655,
35,5520,401247,,9071,96908,,7071,6625466,
36,81171,401248,,9070,96964,,7070,6625565,
37,81271,401248,,9071,97061,,9071,7606932,
38,8070,401302,,9070,98579,,9070,7607092,
39,81270,401321,,9071,98852,,9071,7607427,
40,81170,404249,,9070,100063,,9070,7608573,
41,9071,406836,,8071,103330,,9071,7611262,
42,9070,407062,,8070,106360,,9070,7611470,
43,71519,,0.0,8071,106481,,9071,10298468,
44,81519,,0.0,8070,107491,,9070,10298682,
45,91519,,1.0,71519,,0.0,9071,11798368,
46,5521,438249,,81519,,7.0,9070,11798732,
47,7071,705121,,91519,,3.0,9071,11804868,
48,7070,706057,,5521,131325,,9070,11804904,
49,7071,706087,,8071,369521,,7071,13067569,
50,7070,706134,,7529,,0.0,7070,13067734,
51,7071,716450,,8529,,0.0,7071,13418067,
52,7070,716476,,9529,,0.0,7070,13418247,
53,7071,717105,,5520,369521,,7071,13418338,
54,7070,717301,,81171,369522,,7070,13418513,
55,7071,1043116,,81271,369522,,7071,13500459,
56,7070,1043205,,81270,369595,,7070,13500681,
57,7071,1043240,,8070,369599,,7071,13500738,
58,7070,1044002,,8071,369627,,7070,13500860,
59,7071,1324738,,8070,370711,,7071,14814260,
60,7070,1324755,,81170,372523,,7070,14814331,
61,7071,1324908,,71519,,0.0,7071,16570093,
62,7070,1325705,,81519,,0.0,7070,16570268,
63,7071,1326074,,91519,,0.0,7071,16570292,
64,7070,1326914,,5521,409523,,7070,16570512,
65,7071,1326998,,9071,465176,,7071,16571986,
66,7070,1327101,,9070,466113,,7070,16572001,
67,7071,1327209,,7071,1422119,,8071,16579375,
68,7070,1327511,,7070,1423229,,7529,,10.0
69,9071,1336829,,8071,1444329,,8529,,0.0
70,9070,1336863,,7529,,1.0,9529,,6.0
71,9071,1336948,,8529,,0.0,5520,16579376,
72,9070,1337355,,9529,,1.0,81171,16579376,
73,9071,1339728,,5520,1444330,,81271,16579376,
74,9070,1339776,,81171,1444331,,8070,16579391,
75,8071,1346104,,81271,1444331,,81270,16579449,
76,7529,,11.0,81270,1444404,,81170,16582377,
77,8529,,0.0,8070,1445335,,71519,,0.0
78,9529,,3.0,81170,1447332,,81519,,0.0
79,5520,1346105,,7071,1474515,,91519,,0.0
80,81171,1346105,,7070,1476279,,5521,16633377,
81,81271,1346105,,7071,1478053,,7071,16672477,
82,8070,1346127,,7070,1478470,,7070,16672539,
83,8071,1346147,,8071,1482725,,8071,17599517,
84,81270,1346178,,8070,1483377,,7529,,1.0
85,8070,1346879,,71519,,2.0,8529,,0.0
86,8071,1347192,,81519,,1.0,9529,,0.0
87,8070,1347591,,91519,,0.0,5520,17599517,
88,81170,1349106,,5521,1484332,,81171,17599518,
89,7071,1372466,,8071,2277518,,81271,17599518,
90,7070,1373722,,7529,,0.0,8070,17599533,
91,7071,1373762,,8529,,0.0,8071,17599572,
92,7070,1373775,,9529,,0.0,81270,17599591,
93,7071,1375285,,5520,2277518,,8070,17600388,
94,7070,1376896,,81171,2277519,,8071,17600409,
95,7071,1377677,,81271,2277519,,8070,17600510,
96,7070,1378550,,81270,2277592,,81170,17602519,
97,7071,1379399,,8070,2279291,,71519,,0.0
98,7070,1379405,,81170,2280520,,81519,,0.0
99,7071,1379448,,8071,2281582,,91519,,0.0
100,7070,1379460,,8070,2281904,,5521,17642519,
101,7071,1379494,,8071,2282692,,8071,20233305,
102,7070,1379504,,8070,2283121,,7529,,0.0
103,71519,,7.0,8071,2284190,,8529,,0.0
104,81519,,0.0,8070,2285379,,9529,,0.0
105,91519,,0.0,8071,2286321,,5520,20233306,
106,5521,1394106,,8070,2286340,,81171,20233306,
107,7071,1515026,,8071,2286492,,81271,20233306,
108,7070,1515207,,8070,2286515,,8070,20233329,
