Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 08/14/2020,,Start Date, 08/14/2020,,Start Date, 08/14/2020,
1,Start Time, 16-53-30,,Start Time, 16-55-19,,Start Time, 17-00-07,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P6-3,,Paradigm, P6-3,,Paradigm, P6-3,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1380,,0113,221,,0113,227,
10,Paradigm,G5_P6.3_v2,,Paradigm,G5_P6.3_v2,,Paradigm,G5_P6.3_v2,
11,Trial_Duration,1500,,Trial_Duration,1500,,Trial_Duration,1500,
12,Delay_Window,3000,,Delay_Window,3000,,Delay_Window,3000,
13,7070,1,,7070,1,,7070,1,
14,8070,1,,8070,1,,8070,1,
15,9070,1,,9070,1,,9070,1,
16,5521,1,,5521,1,,5521,1,
17,8071,1125692,,8071,4061285,,8071,929,
18,7529,,0.0,7529,,0.0,7529,,0.0
19,8529,,0.0,8529,,0.0,8529,,0.0
20,9529,,0.0,9529,,0.0,9529,,0.0
21,5520,1125693,,5520,4061285,,5520,930,
22,8070,1125724,,8070,4061351,,8070,1258,
23,71559,,0.0,71559,,0.0,7071,3161,
24,81559,,0.0,81559,,0.0,7070,3213,
25,91559,,0.0,91559,,0.0,7071,3440,
26,91171,1128693,,91171,4064285,,71559,,2.0
27,9071,1129700,,91540,4065786,,81559,,0.0
28,91170,1129700,,71519,,0.0,91559,,0.0
29,81271,1129700,,81519,,0.0,91171,3930,
30,81270,1129773,,91519,,0.0,7070,4420,
31,9070,1129791,,5521,4112786,,91540,5431,
32,8071,1130247,,8071,4294925,,71519,,0.0
33,81170,1132701,,7529,,0.0,81519,,0.0
34,71549,,0.0,8529,,0.0,91519,,0.0
35,81549,,1.0,9529,,0.0,5521,62431,
36,91549,,0.0,5520,4294926,,8071,68737,
37,8070,1138768,,8070,4295085,,7529,,0.0
38,71519,,0.0,71559,,0.0,8529,,0.0
39,81519,,0.0,81559,,0.0,9529,,0.0
40,91519,,0.0,91559,,0.0,5520,68737,
41,5521,1179701,,91171,4297926,,8070,68884,
42,8071,1181075,,9071,4298952,,7071,69412,
43,7529,,0.0,91170,4298953,,7070,69688,
44,8529,,0.0,81271,4298953,,71559,,1.0
45,9529,,0.0,81270,4299026,,81559,,0.0
46,5520,1181076,,9070,4299197,,91559,,0.0
47,8070,1181188,,9071,4299274,,71171,71737,
48,71559,,0.0,9070,4299319,,7071,72594,
49,81559,,0.0,8071,4299739,,71170,72595,
50,91559,,0.0,81170,4301954,,81271,72595,
51,91171,1184076,,71549,,0.0,81270,72668,
52,8071,1184322,,81549,,1.0,7070,72762,
53,91160,1184322,,91549,,1.0,8071,73163,
54,8070,1184402,,8070,4302015,,81170,75596,
55,8071,1184465,,71519,,0.0,71549,,0.0
56,8070,1184625,,81519,,0.0,81549,,1.0
57,9071,1186022,,91519,,0.0,91549,,0.0
58,9070,1188642,,5521,4338954,,8070,85122,
59,9071,1190595,,8071,9143250,,7071,87230,
60,9070,1191358,,7529,,0.0,7070,88010,
61,8071,1193755,,8529,,0.0,71519,,1.0
62,8070,1195011,,9529,,0.0,81519,,0.0
63,71519,,0.0,5520,9143251,,91519,,0.0
64,81519,,2.0,8070,9143417,,5521,126596,
65,91519,,2.0,8071,9143743,,8071,144752,
66,5521,1221323,,8070,9143851,,7529,,0.0
67,8071,1222096,,8071,9145373,,8529,,0.0
68,7529,,0.0,8070,9145791,,9529,,0.0
69,8529,,0.0,71559,,0.0,5520,144753,
70,9529,,0.0,81559,,2.0,8070,144982,
71,5520,1222097,,91559,,0.0,9071,145994,
72,8070,1222247,,71171,9146251,,9070,146621,
73,71559,,0.0,71540,9147752,,8071,147317,
74,81559,,0.0,7071,9192456,,8070,147499,
75,91559,,0.0,7070,9192926,,71559,,0.0
76,71171,1225097,,8071,9195170,,81559,,1.0
77,71540,1226598,,8070,9195778,,91559,,1.0
78,71519,,0.0,8071,9199315,,71171,147753,
79,81519,,0.0,8070,9199485,,7071,148433,
80,91519,,0.0,71519,,1.0,71170,148434,
81,5521,1281598,,81519,,2.0,81271,148434,
82,8071,1283849,,91519,,0.0,81270,148507,
83,7529,,0.0,5521,9202752,,7070,148594,
84,8529,,0.0,8071,9205395,,8071,148880,
85,9529,,0.0,7529,,0.0,81170,151435,
86,5520,1283849,,8529,,0.0,71549,,0.0
87,8070,1284002,,9529,,0.0,81549,,1.0
88,8071,1286242,,5520,9205396,,91549,,0.0
89,8070,1286805,,8070,9205539,,8070,168368,
90,71559,,0.0,8071,9206383,,71519,,0.0
91,81559,,1.0,8070,9206483,,81519,,0.0
92,91559,,0.0,71559,,0.0,91519,,0.0
93,71171,1286849,,81559,,1.0,5521,191435,
94,7071,1287915,,91559,,0.0,8071,205818,
95,71170,1287916,,71171,9208396,,7529,,0.0
96,81271,1287916,,71540,9209897,,8529,,0.0
97,81270,1287989,,7071,9210058,,9529,,0.0
98,7070,1287994,,7070,9210091,,5520,205818,
99,8071,1288411,,8071,9210652,,8070,206054,
100,81170,1290917,,8070,9210935,,8071,206521,
101,71549,,0.0,71519,,1.0,8070,206628,
102,81549,,1.0,81519,,1.0,71559,,0.0
103,91549,,0.0,91519,,0.0,81559,,1.0
104,8070,1301907,,5521,9241897,,91559,,0.0
105,71519,,0.0,8071,11697275,,91171,208818,
106,81519,,0.0,7529,,0.0,9071,209768,
