Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 08/14/2020,,Start Date, 08/14/2020,,Start Date, 08/14/2020,
1,Start Time, 16-53-30,,Start Time, 16-55-19,,Start Time, 17-00-07,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P6-3,,Paradigm, P6-3,,Paradigm, P6-3,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1380,,0113,221,,0113,227,
10,Paradigm,G5_P6.3_v2,,Paradigm,G5_P6.3_v2,,Paradigm,G5_P6.3_v2,
11,Trial_Duration,1500,,Trial_Duration,1500,,Trial_Duration,1500,
12,Delay_Window,3000,,Delay_Window,3000,,Delay_Window,3000,
13,7070,1,,7070,1,,7070,1,
14,8070,1,,8070,1,,8070,1,
15,9070,1,,9070,1,,9070,1,
16,5521,1,,5521,1,,5521,1,
17,8071,1125692,,8071,4061285,,8071,929,
18,7529,,0.0,7529,,0.0,7529,,0.0
19,8529,,0.0,8529,,0.0,8529,,0.0
20,9529,,0.0,9529,,0.0,9529,,0.0
21,5520,1125693,,5520,4061285,,5520,930,
22,8070,1125724,,8070,4061351,,8070,1258,
23,72559,,0.0,72559,,0.0,7071,3161,
24,82559,,0.0,82559,,0.0,7070,3213,
25,92559,,0.0,92559,,0.0,7071,3440,
26,92171,1128693,,92171,4064285,,72559,,2.0
27,9071,1129700,,92540,4065786,,82559,,0.0
28,92170,1129700,,72519,,0.0,92559,,0.0
29,82271,1129700,,82519,,0.0,92171,3930,
30,82270,1129773,,92519,,0.0,7070,4420,
31,9070,1129791,,5521,4112786,,92540,5431,
32,8071,1130247,,8071,4294925,,72519,,0.0
33,82170,11322701,,7529,,0.0,82519,,0.0
34,72549,,0.0,8529,,0.0,92519,,0.0
35,82549,,1.0,9529,,0.0,5521,62431,
36,92549,,0.0,5520,4294926,,8071,68737,
37,8070,1138768,,8070,4295085,,7529,,0.0
38,72519,,0.0,72559,,0.0,8529,,0.0
39,82519,,0.0,82559,,0.0,9529,,0.0
40,92519,,0.0,92559,,0.0,5520,68737,
41,5521,1179701,,92171,4297926,,8070,68884,
42,8071,1181075,,9071,4298952,,7071,69412,
43,7529,,0.0,92170,4298953,,7070,69688,
44,8529,,0.0,82271,4298953,,72559,,1.0
45,9529,,0.0,82270,4299026,,82559,,0.0
46,5520,1181076,,9070,4299197,,92559,,0.0
47,8070,1181188,,9071,4299274,,72171,71737,
48,72559,,0.0,9070,4299319,,7071,72594,
49,82559,,0.0,8071,4299739,,72170,72595,
50,92559,,0.0,82170,4301954,,82271,72595,
51,92171,1184076,,72549,,0.0,82270,72668,
52,8071,1184322,,82549,,1.0,7070,72762,
53,92160,1184322,,92549,,1.0,8071,73163,
54,8070,1184402,,8070,4302015,,82170,725596,
55,8071,1184465,,72519,,0.0,72549,,0.0
56,8070,1184625,,82519,,0.0,82549,,1.0
57,9071,1186022,,92519,,0.0,92549,,0.0
58,9070,1188642,,5521,4338954,,8070,85122,
59,9071,1190595,,8071,9143250,,7071,87230,
60,9070,1191358,,7529,,0.0,7070,88010,
61,8071,1193755,,8529,,0.0,72519,,1.0
62,8070,1195011,,9529,,0.0,82519,,0.0
63,72519,,0.0,5520,9143251,,92519,,0.0
64,82519,,2.0,8070,9143417,,5521,126596,
65,92519,,2.0,8071,9143743,,8071,144752,
66,5521,1221323,,8070,9143851,,7529,,0.0
67,8071,1222096,,8071,9145373,,8529,,0.0
68,7529,,0.0,8070,9145791,,9529,,0.0
69,8529,,0.0,72559,,0.0,5520,144753,
70,9529,,0.0,82559,,2.0,8070,144982,
71,5520,1222097,,92559,,0.0,9071,145994,
72,8070,1222247,,72171,9146251,,9070,146621,
73,72559,,0.0,72540,9147752,,8071,147317,
74,82559,,0.0,7071,9192456,,8070,147499,
75,92559,,0.0,7070,9192926,,72559,,0.0
76,72171,1225097,,8071,91952170,,82559,,1.0
77,72540,1226598,,8070,9195778,,92559,,1.0
78,72519,,0.0,8071,9199315,,72171,147753,
79,82519,,0.0,8070,9199485,,7071,148433,
80,92519,,0.0,72519,,1.0,72170,148434,
81,5521,1281598,,82519,,2.0,82271,148434,
82,8071,1283849,,92519,,0.0,82270,148507,
83,7529,,0.0,5521,9202752,,7070,148594,
84,8529,,0.0,8071,9205395,,8071,148880,
85,9529,,0.0,7529,,0.0,82170,151435,
86,5520,1283849,,8529,,0.0,72549,,0.0
87,8070,1284002,,9529,,0.0,82549,,1.0
88,8071,1286242,,5520,9205396,,92549,,0.0
89,8070,1286805,,8070,9205539,,8070,168368,
90,72559,,0.0,8071,9206383,,72519,,0.0
91,82559,,1.0,8070,9206483,,82519,,0.0
92,92559,,0.0,72559,,0.0,92519,,0.0
93,72171,1286849,,82559,,1.0,5521,191435,
94,7071,1287915,,92559,,0.0,8071,205818,
95,72170,1287916,,72171,9208396,,7529,,0.0
96,82271,1287916,,72540,9209897,,8529,,0.0
97,82270,1287989,,7071,9210058,,9529,,0.0
98,7070,1287994,,7070,9210091,,5520,205818,
99,8071,1288411,,8071,9210652,,8070,206054,
100,82170,1290917,,8070,9210935,,8071,206521,
101,72549,,0.0,72519,,1.0,8070,206628,
102,82549,,1.0,82519,,1.0,72559,,0.0
103,92549,,0.0,92519,,0.0,82559,,1.0
104,8070,1301907,,5521,9241897,,92559,,0.0
105,72519,,0.0,8071,11697275,,92171,208818,
106,82519,,0.0,7529,,0.0,9071,209768,
