Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 07/30/2020,,Start Date, 07/30/2020,,Start Date, 07/30/2020,
1,Start Time, 11-35-00,,Start Time, 11-35-50,,Start Time, 12-02-31,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P1,,Paradigm, P1,,Paradigm, P1,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1420,,0113,228,,0113,230,
10,Paradigm, DD_P1_vf,,Paradigm, DD_P1_vf,,Paradigm, DD_P1_vf,
11,7070,0,,7070,0,,7070,0,
12,8070,0,,8070,0,,8070,0,
13,9070,0,,9070,0,,9070,0,
14,5521,0,,5521,0,,5521,0,
15,8071,5679876,,8071,30020,,8071,3580332,
16,7529,,0.0,7529,,0.0,7529,,0.0
17,8529,,0.0,8529,,0.0,8529,,0.0
18,9529,,0.0,9529,,0.0,9529,,0.0
19,5520,5679877,,5520,30021,,5520,3580333,
20,81171,5679877,,81171,30021,,81171,3580334,
21,81271,5679877,,81271,30021,,81271,3580334,
22,81270,5679950,,81270,30094,,81270,3580407,
23,8070,5682436,,8070,30123,,8070,3582555,
24,81170,5682878,,8071,30139,,8071,3582568,
25,71519,,0.0,8070,30416,,8070,3582641,
26,81519,,0.0,8071,30436,,81170,3583335,
27,91519,,0.0,8070,30484,,8071,3600887,
28,5521,5727878,,8071,30630,,8070,3602504,
29,8071,11315189,,8070,30649,,71519,,0.0
30,7529,,0.0,8071,30911,,81519,,1.0
31,8529,,0.0,8070,30928,,91519,,0.0
32,9529,,0.0,8071,31014,,5521,3634335,
33,5520,11315189,,8070,31036,,8071,3690621,
34,81171,11315190,,8071,31205,,7529,,0.0
35,81271,11315190,,8070,31241,,8529,,0.0
36,8070,11315222,,8071,31270,,9529,,0.0
37,81270,11315263,,8070,32292,,5520,3690622,
38,8071,11316898,,81170,33022,,81171,3690624,
39,81170,11318191,,71519,,0.0,81271,3690624,
40,8070,11318425,,81519,,0.0,81270,3690697,
41,71519,,0.0,91519,,0.0,8070,3692025,
42,81519,,0.0,5521,70022,,81170,3693625,
43,91519,,0.0,8071,110811,,71519,,0.0
44,5521,11355191,,7529,,0.0,81519,,0.0
45,8071,11565281,,8529,,0.0,91519,,0.0
46,7529,,0.0,9529,,0.0,5521,3738625,
47,8529,,0.0,5520,110812,,8071,25264202,
48,9529,,0.0,81171,110812,,7529,,0.0
49,5520,11565282,,81271,110812,,8529,,0.0
50,81171,11565283,,8070,110825,,9529,,0.0
51,81271,11565283,,81270,110885,,5520,25264203,
52,81270,11565356,,81170,113813,,81171,25264204,
53,8070,11567174,,71519,,0.0,81271,25264204,
54,81170,11568284,,81519,,0.0,81270,25264277,
55,71519,,0.0,91519,,0.0,8070,25266267,
56,81519,,0.0,5521,153814,,81170,25267205,
57,91519,,0.0,8071,166732,,8071,25271355,
58,5521,11605284,,7529,,0.0,8070,25272041,
59,8071,11708003,,8529,,0.0,8071,25283752,
60,7529,,0.0,9529,,0.0,8070,25284136,
61,8529,,0.0,5520,166733,,71519,,0.0
62,9529,,0.0,81171,166733,,81519,,2.0
63,5520,11708004,,81271,166733,,91519,,0.0
64,81171,11708004,,81270,166806,,5521,25304205,
65,81271,11708004,,8070,166864,,8071,25307953,
66,81270,11708077,,8071,167363,,7529,,0.0
67,8070,11709418,,8070,167380,,8529,,0.0
68,81170,11711005,,8071,167833,,9529,,0.0
69,7071,11720187,,8070,168008,,5520,25307953,
70,7070,11720663,,8071,168046,,81171,25307954,
71,8071,11725453,,8070,168111,,81271,25307954,
72,8070,11726742,,8071,168179,,81270,25308027,
73,8071,11727248,,8070,168200,,8070,25309712,
74,8070,11727955,,8071,168441,,81170,25310955,
75,7071,11732166,,8070,168538,,8071,25311073,
76,7070,11732414,,8071,168662,,8070,25311676,
77,8071,11739575,,8070,168728,,71519,,0.0
78,8070,11739866,,8071,168981,,81519,,1.0
79,71519,,2.0,8070,169027,,91519,,0.0
80,81519,,3.0,8071,169094,,5521,25370955,
81,91519,,0.0,8070,169131,,8071,25603788,
82,5521,11743005,,8071,169144,,7529,,0.0
83,8071,11748691,,8070,169162,,8529,,0.0
84,7529,,0.0,8071,169212,,9529,,0.0
85,8529,,0.0,8070,169251,,5520,25603789,
86,9529,,0.0,8071,169295,,81171,25603790,
87,5520,11748692,,8070,169591,,81271,25603790,
88,81171,11748694,,81170,169734,,81270,25603863,
89,81271,11748694,,71519,,0.0,8070,25606069,
90,81270,11748767,,81519,,0.0,81170,25606791,
91,8070,11750552,,91519,,0.0,71519,,0.0
92,81170,11751695,,5521,220734,,81519,,0.0
93,8071,11757195,,8071,457726,,91519,,0.0
94,8070,11757246,,7529,,0.0,5521,25653791,
95,71519,,0.0,8529,,0.0,8071,36361082,
96,81519,,1.0,9529,,0.0,7529,,0.0
97,91519,,0.0,5520,457728,,8529,,0.0
98,5521,11783695,,81171,457728,,9529,,0.0
99,8071,19285591,,81271,457728,,5520,36361083,
100,7529,,0.0,81270,457801,,81171,36361083,
101,8529,,0.0,8070,459397,,81271,36361083,
102,9529,,0.0,81170,460729,,81270,36361156,
103,5520,19285592,,71519,,0.0,8070,36362051,
104,81171,19285592,,81519,,0.0,81170,36364084,
105,81271,19285592,,91519,,0.0,71519,,0.0
106,81270,19285665,,5521,492729,,81519,,0.0
107,8070,19287156,,8071,516282,,91519,,0.0
108,8071,19287243,,7529,,0.0,5521,36398084,
